_id,品名,ゴミの種類,出し方の注意点
1,ＩＨクッキングヒーター,燃やせないごみ,指定袋に入らないものは、清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
2,ＩＣレコーダー,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
3,アイスの棒,燃やすごみ,
4,アイスの容器（紙）,燃やすごみ,
5,アイスの容器（プラスチック）,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
6,アイスピック,燃やせないごみ,紙などに包み、外からわかるように“刃物”と表示して下さい。
7,アイロン,燃やせないごみ,
8,アイロン台,燃やせないごみ,指定袋に入らないものは、清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
9,空きびん,リサイクル,びん。すすいでから出して下さい。油の入ったびんや、汚れが取れないものは燃やせないごみへ。ラベルは、はがさなくても可。
10,アクセサリー（金属）,燃やせないごみ,
11,アクリル板,燃やせないごみ,指定袋に入らないものは、清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
12,アコーディオンカーテン,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
13,足のマッサージ機（フットマッサージ機）,燃やせないごみ,指定袋に入らないものは、清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
14,足ふきマット（布）,燃やすごみ,50cm角以下に切って出して下さい。
15,足ふきマット（布以外）,燃やせないごみ,指定袋に入らないものは、清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
16,アタッシュケース,燃やせないごみ,指定袋に入らないものは、清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
17,アダプター（電源用）,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
18,厚紙,リサイクル,紙類
19,厚紙（コーティングあり）,燃やすごみ,
20,圧力鍋,燃やせないごみ,
21,油（燃料用）,その他,受付しません。取扱店に処理を依頼して下さい。
22,油（食用）,燃やすごみ,新聞紙や布に染みこませたり、凝固剤に固めるなど処理してから出して下さい。
23,油こし器,燃やせないごみ,
24,油さし,燃やせないごみ,必ず使い切って出して下さい。
25,油（食用）の缶（金属）,燃やせないごみ,すすいでも油分が取れないので、燃やせないごみに出して下さい
26,油のびん（ガラス）,燃やせないごみ,すすいでも油分が取れないので、燃やせないごみに出して下さい。
27,油の容器（プラスチック）,燃やすごみ,汚れが取れないものはリサイクルに適さないため、燃やすごみに出して下さい。
28,雨ガッパ,燃やすごみ,
29,雨戸,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
30,雨どい,燃やせないごみ,指定袋に入らないものは、2m以下に切って清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
31,網（虫・魚取り用）,燃やすごみ,
32,網（ミカン・玉ねぎ等のネット）,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
33,網戸,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
34,網戸の網,燃やすごみ,
35,飴などの個包装（紙）,燃やすごみ,
